q_idx,q_label,q_text,idx_1,label_1,sim_1,z_1,jacc_1,lenpen_1,bm25_1,mnn_1,score_1,idx_2,label_2,sim_2,z_2,jacc_2,lenpen_2,bm25_2,mnn_2,score_2,idx_3,label_3,sim_3,z_3,jacc_3,lenpen_3,bm25_3,mnn_3,score_3,idx_4,label_4,sim_4,z_4,jacc_4,lenpen_4,bm25_4,mnn_4,score_4,idx_5,label_5,sim_5,z_5,jacc_5,lenpen_5,bm25_5,mnn_5,score_5,idx_6,label_6,sim_6,z_6,jacc_6,lenpen_6,bm25_6,mnn_6,score_6,idx_7,label_7,sim_7,z_7,jacc_7,lenpen_7,bm25_7,mnn_7,score_7,idx_8,label_8,sim_8,z_8,jacc_8,lenpen_8,bm25_8,mnn_8,score_8,idx_9,label_9,sim_9,z_9,jacc_9,lenpen_9,bm25_9,mnn_9,score_9,idx_10,label_10,sim_10,z_10,jacc_10,lenpen_10,bm25_10,mnn_10,score_10
0,d52ebdd6c51c,train personnel on proper operational procedures,3,33b4e36b0d81,0.5464982390403748,2.4503345489501953,0.20000000298023224,0.1682360897391828,0.6090768487392924,1,1.3354870570605688,191,a9be4c9c15a1,0.5319325923919678,2.042344808578491,0.1818181872367859,0.23500177712287373,0.5898036247287963,1,1.2179167774833948,30,c6a87cc5d35e,0.553456723690033,2.6452443599700928,0.1428571492433548,0.2554127452163465,0.35035564487217496,1,1.2956546250718333,41,babe1d93de49,0.49710720777511597,1.0668717622756958,0.1666666716337204,0.45814521593713003,0.562135019628792,1,0.9320952755929459,120,a04637eaf44a,0.4965977072715759,1.052600383758545,0.0,0.11157175065711056,0.0,1,0.7815523793681116,57,c1933354ef21,0.5138177275657654,1.5349401235580444,0.1428571492433548,0.2554127452163465,0.35035564487217496,1,1.0035739991801476,167,00c6f12023ab,0.49917691946029663,1.1248451471328735,0.2857142984867096,0.11157175065711056,0.8065963084128944,1,1.0562790188693263,219,573d5b3bbb3d,0.487122118473053,0.7871853709220886,0.0,0.11157175065711056,0.0,1,0.71034417801933,124,3b11edaeeba4,0.5065382122993469,1.331037998199463,0.1111111119389534,0.0,0.2913848927649772,1,0.9580718335371733,184,389dd43f303d,0.48902320861816406,0.8404356837272644,0.125,0.11157175065711056,0.4588237187240411,1,0.874722656977625
1,06d678da6c8d,prepare procedural documents,77,9b108680399f,0.5780861973762512,2.464003801345825,0.5,0.0,1.0,1,1.4371224132180216,198,edb3d68bc36f,0.5520408153533936,2.109071731567383,0.1428571492433548,0.2554127452163465,0.5866964104389011,1,1.2165788580155716,30,c6a87cc5d35e,0.4909090995788574,1.2760026454925537,0.20000000298023224,0.0,0.4185432430857448,1,0.9410557259980749,61,dc17b84d2d6b,0.5938081741333008,2.6782541275024414,0.1428571492433548,0.2554127452163465,0.4835877978296777,1,1.3422858786069591,95,7c80e08ee743,0.555937647819519,2.1621756553649902,0.5,0.0,1.0,1,1.3555866342782976,15,c5e6a1a8c44d,0.4998322129249573,1.397601842880249,0.1666666716337204,0.14384099455923594,0.38008251264002774,1,0.9508136448739204,27,88a991273442,0.4287041425704956,0.4283078908920288,0.0,0.14384099455923594,0.0,1,0.5533425749219947,186,4c7ceb754866,0.5408155918121338,1.9561007022857666,0.1428571492433548,0.2554127452163465,0.3480953704871541,1,1.08958512498005,46,f64f2eefbcb7,0.5121371746063232,1.5652869939804077,0.0,0.2554127452163465,0.0,1,0.8718026691934608,121,66497e9d2189,0.5155764818191528,1.6121560335159302,0.1428571492433548,0.2554127452163465,0.3480953704871541,1,0.9918159390793616
2,771b010da2fa,"recommend technical design or process changes to improve efficiency, quality, or performance",51,6385c0e2eb2e,0.6590383052825928,3.4358367919921875,0.27272728085517883,0.29389328800662196,1.0,1,1.3824917019972962,81,e9ce432833f3,0.6388372182846069,3.068434000015259,0.1666666716337204,0.29389328800662196,0.6661069603241577,1,1.2009542540298646,102,f2c8cd5b27ab,0.5448242425918579,1.3585929870605469,0.07692307978868484,0.29389328800662196,0.2803772187470784,1,0.7055075993392416,29,ef7349785e11,0.6895284652709961,3.990370035171509,0.1818181872367859,0.4054650386637325,0.5410330217665478,1,1.341542316725704,157,018f6a0e7f9a,0.4514148533344269,-0.34027034044265747,0.125,0.0,0.36036418183651636,1,0.3928723351548361,186,4c7ceb754866,0.4668516516685486,-0.05951687693595886,0.07692307978868484,0.29389328800662196,0.18585554800777296,1,0.3643713255029882,89,b03b706832f2,0.481237530708313,0.20212322473526,0.0,0.20273252627630822,0.0,1,0.3680885877694887,9,3cdbc3929112,0.5730363130569458,1.8716939687728882,0.0833333358168602,0.4054650386637325,0.20293416593281158,1,0.778150414470502,156,ae5e42c6c3d0,0.46021661162376404,-0.18019025027751923,0.0833333358168602,0.4054650386637325,0.30614161182113425,1,0.3689393739210357,24,2ae9204d54c8,0.48522529006004333,0.2746497392654419,0.0833333358168602,0.4054650386637325,0.20686376715165652,1,0.43290901127552905
3,33b4e36b0d81,confer with technical personnel to prepare designs or operational plans,62,c6d9ce80244c,0.8418434858322144,4.9334845542907715,0.27272728085517883,0.0,0.99530758268517,1,1.5274485588313005,15,c5e6a1a8c44d,0.5489871501922607,0.36106064915657043,0.2222222238779068,0.27980784039629336,0.8812522236029512,1,0.642727915458157,84,c6940290ea74,0.5872066617012024,0.957789421081543,0.09090909361839294,0.1682360897391828,0.28498807470557874,1,0.5592417526966873,184,389dd43f303d,0.5828315615653992,0.8894801139831543,0.2222222238779068,0.27980784039629336,0.7213795363593288,1,0.6820451463541922,103,6680fc36f234,0.6830798387527466,2.454676389694214,0.20000000298023224,0.1682360897391828,0.6606693773587912,1,0.9560912680823752,0,d52ebdd6c51c,0.5464982390403748,0.32220080494880676,0.20000000298023224,0.1682360897391828,0.6361888998128188,1,0.5618418014485682,30,c6a87cc5d35e,0.6028317809104919,1.2017475366592407,0.25,0.4236488349555293,0.7193948505967354,1,0.7217289640302944,4,9fc64a999e12,0.6067798733711243,1.2633898258209229,0.07692307978868484,0.0,0.2439304707225717,1,0.6186081067444678,119,b729f6985724,0.5526313781738281,0.41795870661735535,0.09090909361839294,0.1682360897391828,0.3756813026532124,1,0.4918570190647868,46,f64f2eefbcb7,0.5658999085426331,0.6251229047775269,0.09090909361839294,0.1682360897391828,0.46928644105215295,1,0.5626597311458688
4,9fc64a999e12,"communicate technical information to suppliers, contractors, or regulatory agencies",199,0d99df7b9f80,0.6693296432495117,3.3619937896728516,0.1818181872367859,0.07707532800886907,0.8768824657917131,1,1.4919285931999982,84,c6940290ea74,0.5254272222518921,0.9542683959007263,0.09090909361839294,0.1682360897391828,0.29240259438360094,1,0.708230442885873,27,88a991273442,0.5312609672546387,1.0518766641616821,0.10000000149011612,0.27980784039629336,0.5542711270971936,1,0.811727479694686,142,c71cb5036aef,0.6262766718864441,2.641646385192871,0.1666666716337204,0.0,1.0,1,1.3722089540958406,103,6680fc36f234,0.582589864730835,1.910693883895874,0.09090909361839294,0.1682360897391828,0.29240259438360094,1,0.9400750320000621,61,dc17b84d2d6b,0.581507682800293,1.8925873041152954,0.09090909361839294,0.1682360897391828,0.29240259438360094,1,0.9356858502669307,3,33b4e36b0d81,0.6067798733711243,2.3154327869415283,0.07692307978868484,0.0,0.25027679688765847,1,1.0418743597513633,192,8562bf3caec4,0.4975326657295227,0.4875463545322418,0.09090909361839294,0.1682360897391828,0.29240259438360094,1,0.5950935292584869,91,b1f99c3dcd62,0.4494621157646179,-0.31675344705581665,0.09090909361839294,0.1682360897391828,0.41033208986285585,1,0.4414006551814809,113,322cdff981bb,0.4930184483528137,0.41201603412628174,0.0833333358168602,0.07707532800886907,0.3784798271794378,1,0.6164158969613116
5,abdac161e57b,design medical devices or appliances,162,957f012e4031,0.6133853197097778,2.379950761795044,0.1666666716337204,0.14384099455923594,1.0,1,1.4261169956006103,127,3d77dabe7560,0.6383780837059021,2.7081687450408936,0.1428571492433548,0.0,0.46335877870863124,1,1.3434875923730027,68,7a9450b42a26,0.5002759695053101,0.8945399522781372,0.1428571492433548,0.0,0.46335877870863124,1,0.8595114145017754,70,d5bb4574fc4d,0.6433030366897583,2.77284574508667,0.125,0.11157175065711056,0.4243632379262217,1,1.3386199552282343,189,a49d5a99c1d7,0.5325720310211182,1.3186686038970947,0.0,0.0,0.0,1,0.8242356058955193,138,ef5aeb4ce41e,0.5492900609970093,1.5382184982299805,0.0,0.14384099455923594,0.0,1,0.8696035460509353,147,a2140782858a,0.41432926058769226,-0.23415693640708923,0.125,0.11157175065711056,0.4243632379262217,1,0.5341930132075796,75,f634ee56b726,0.5696104764938354,1.8050767183303833,0.1666666716337204,0.14384099455923594,0.5102462741731951,1,1.1018031216092175,161,f1f35b083d3a,0.5256149768829346,1.2273049354553223,0.0,0.11157175065711056,0.0,1,0.7882132356746645,129,06f6e71fddcf,0.5459797382354736,1.4947456121444702,0.0,0.0,0.0,1,0.872156175673008
6,75e527217c38,research engineering aspects of biological or chemical processes,206,c32f9f13a109,0.7085885405540466,3.617737293243408,0.375,0.09116076173031373,1.0,1,1.5046339119060397,126,ebdb003908ef,0.44932830333709717,0.7685586214065552,0.2222222238779068,0.09116076173031373,0.6219592058133134,1,0.740691135505679,10,365ec2897755,0.482554167509079,1.1336991786956787,0.10000000149011612,0.09116076173031373,0.3519334053455243,1,0.7385913584623751,204,62b52b411f3a,0.6250619292259216,2.6998093128204346,0.25,0.2027325123874243,0.7370548607343586,1,1.2101429456938466,59,da6e8742f6bf,0.5805111527442932,2.210211992263794,0.25,0.2027325123874243,0.6211695670957962,1,1.057546775333451,181,49ccfbfcfc0a,0.5505481958389282,1.8809295892715454,0.1111111119389534,0.2027325123874243,0.47072232479609577,1,0.9425796640896522,209,2ac9980eb5e6,0.5158432722091675,1.4995347261428833,0.09090909361839294,0.0,0.24906489358216158,1,0.7979333386525945,141,dbc0d59bd942,0.5137485265731812,1.476514220237732,0.2222222238779068,0.09116076173031373,0.6219592058133134,1,0.9033305597105054,182,8729852fc4b8,0.48855072259902954,1.1995991468429565,0.0,0.0,0.0,1,0.6471182209253311,214,fc824bfe7bf0,0.4599095582962036,0.8848428726196289,0.10000000149011612,0.09116076173031373,0.4049996907988265,1,0.6990119162699814
7,bfcc3cdee21d,devise research or testing protocols,76,298036041aa4,0.4838862419128418,2.5985043048858643,0.0,0.11157175065711056,0.0,1,1.2088428189738245,158,16ac0e74dbe1,0.47830820083618164,2.4366343021392822,0.0,0.0,0.0,1,1.1765217584371568,150,3ffc9e8eaffb,0.4805796146392822,2.5025486946105957,0.0,0.0,0.0,1,1.194226349592209,195,6b483cafcca2,0.47688454389572144,2.3953208923339844,0.0,0.0,0.0,1,1.1654250425100328,59,da6e8742f6bf,0.4470447301864624,1.5293940305709839,0.1428571492433548,0.0,0.7279980425438168,0,1.0518023978213775,214,fc824bfe7bf0,0.40155550837516785,0.20933425426483154,0.125,0.11157175065711056,1.0,1,0.9093017389758081,188,be19a52818cf,0.4137688875198364,0.5637564659118652,0.125,0.11157175065711056,1.0,1,1.0028766577823611,46,f64f2eefbcb7,0.4604218900203705,1.917588233947754,0.0,0.11157175065711056,0.0,0,0.9059491553290339,209,2ac9980eb5e6,0.4057199954986572,0.3301842510700226,0.1111111119389534,0.2027325123874243,0.6149755153908953,0,0.6782634521838355,134,469df54e4928,0.4386349320411682,1.285348653793335,0.0,0.4054650386637325,0.0,0,0.7067405981772554
8,04d0abdf0b41,develop operational methods or processes that use green materials or emphasize sustainability,148,253c9a1feb09,0.661684513092041,2.9532721042633057,0.0714285746216774,0.34657354027998,0.3971492778525809,1,1.313630594733696,175,825fff3275ff,0.6214144825935364,2.426497220993042,0.0714285746216774,0.34657354027998,0.2791607921593588,1,1.1277797638511564,72,91e3b64a6f04,0.6333221793174744,2.5822625160217285,0.0625,0.1783374505407972,0.3399328564670396,1,1.2098320283051942,92,3f67b920ee49,0.5378925800323486,1.3339415788650513,0.06666667014360428,0.25541277854966626,0.30226484596362396,1,0.845591592668871,182,8729852fc4b8,0.46110475063323975,0.32947495579719543,0.1428571492433548,0.25541277854966626,0.5597556222932607,1,0.656017641178439,155,f6d7dbe3f71e,0.47397077083587646,0.49777621030807495,0.0,0.6019862854963265,0.0,1,0.4793488883029846,176,62eda05f366c,0.6016285419464111,2.1676759719848633,0.07692307978868484,0.45814529093709055,0.43364407635795327,1,1.0990062229108104,174,003763627ff4,0.5366133451461792,1.3172078132629395,0.06666667014360428,0.25541277854966626,0.20334964494839133,1,0.8063762459396763,159,3319e1abdfb1,0.5864362716674805,1.9689449071884155,0.0714285746216774,0.34657354027998,0.3971492778525809,1,1.0435165230665016,45,aa03c0034762,0.4182246923446655,-0.2314419150352478,0.07692307978868484,0.45814529093709055,0.3695526829931275,1,0.4187186742300324
9,3cdbc3929112,develop technical methods or processes,48,23ca56c5d573,0.7202827334403992,2.691859006881714,0.3333333432674408,0.0,1.0,1,1.4672262382507326,21,c9b70de179fe,0.7334917187690735,2.8929080963134766,0.1428571492433548,0.0,0.4600056990490311,1,1.3595734185553674,195,6b483cafcca2,0.6114670038223267,1.035614252090454,0.1428571492433548,0.0,0.5399943009509689,1,0.8867793324016447,84,c6940290ea74,0.6286112666130066,1.2965607643127441,0.2857142984867096,0.11157175065711056,0.7852673921958094,1,1.0189509131784311,59,da6e8742f6bf,0.6844784021377563,2.1468942165374756,0.1428571492433548,0.0,0.5091386755288673,1,1.1756190438065293,192,8562bf3caec4,0.6193503737449646,1.1556041240692139,0.125,0.11157175065711056,0.3639750440568452,1,0.8478840878865526,182,8729852fc4b8,0.6286417245864868,1.2970243692398071,0.25,0.2027325123874243,0.8447488584474884,1,1.0339957253527507,29,ef7349785e11,0.6594897508621216,1.7665510177612305,0.0,0.0,0.0,1,0.9102616485953331,185,7b03e0901b8c,0.6355564594268799,1.402271032333374,0.125,0.11157175065711056,0.4662903711526754,1,0.9503694224604824,46,f64f2eefbcb7,0.6837252378463745,2.1354305744171143,0.125,0.11157175065711056,0.4212923481389641,1,1.1327960364418543
